2025-05-16 16:39:41,432 - ERROR - Failed to process beatmapset 2349587: permission denied for table beatmapsets

2025-05-16 16:39:41,435 - ERROR - Failed to process beatmapset 2183678: permission denied for table beatmapsets

2025-05-16 16:39:41,439 - ERROR - Failed to process beatmapset 2352149: permission denied for table beatmapsets

2025-05-16 16:39:41,444 - ERROR - Failed to process beatmapset 2300345: permission denied for table beatmapsets

2025-05-16 16:39:41,447 - ERROR - Failed to process beatmapset 2250314: permission denied for table beatmapsets

2025-05-16 16:39:41,450 - ERROR - Failed to process beatmapset 2215741: permission denied for table beatmapsets

2025-05-16 16:39:41,453 - ERROR - Failed to process beatmapset 2359193: permission denied for table beatmapsets

2025-05-16 16:39:41,456 - ERROR - Failed to process beatmapset 525533: permission denied for table beatmapsets

2025-05-16 16:39:41,460 - ERROR - Failed to process beatmapset 2260520: permission denied for table beatmapsets

2025-05-16 16:39:41,465 - ERROR - Failed to process beatmapset 2365840: permission denied for table beatmapsets

2025-05-16 16:39:41,468 - ERROR - Failed to process beatmapset 2358414: permission denied for table beatmapsets

2025-05-16 16:39:41,471 - ERROR - Failed to process beatmapset 2175865: permission denied for table beatmapsets

2025-05-16 16:39:41,475 - ERROR - Failed to process beatmapset 2238317: permission denied for table beatmapsets

2025-05-16 16:39:41,479 - ERROR - Failed to process beatmapset 2356006: permission denied for table beatmapsets

2025-05-16 16:39:41,482 - ERROR - Failed to process beatmapset 2313238: permission denied for table beatmapsets

2025-05-16 16:39:41,485 - ERROR - Failed to process beatmapset 1215814: permission denied for table beatmapsets

2025-05-16 16:39:41,490 - ERROR - Failed to process beatmapset 2307444: permission denied for table beatmapsets

2025-05-16 16:39:41,494 - ERROR - Failed to process beatmapset 2098906: permission denied for table beatmapsets

2025-05-16 16:39:41,497 - ERROR - Failed to process beatmapset 2237062: permission denied for table beatmapsets

2025-05-16 16:39:41,501 - ERROR - Failed to process beatmapset 2298582: permission denied for table beatmapsets

2025-05-16 16:39:41,505 - ERROR - Failed to process beatmapset 2345804: permission denied for table beatmapsets

2025-05-16 16:39:41,508 - ERROR - Failed to process beatmapset 2348439: permission denied for table beatmapsets

2025-05-16 16:39:41,512 - ERROR - Failed to process beatmapset 2354884: permission denied for table beatmapsets

2025-05-16 16:39:41,515 - ERROR - Failed to process beatmapset 2361461: numeric field overflow
DETAIL:  A field with precision 3, scale 2 must round to an absolute value less than 10^1.

